name,location,founded_date,category,description,main_url,twitter_url,angellist_url,crunchbase_url,employee_count
AgileLaw,Austin,2011,Case Management - Deposition,Paperless Depositions for Attorneys,http://www.agilelaw.com/ ,https://twitter.com/agilelaw ,n/a,http://www.crunchbase.com/organization/agilelaw ,
eDepoze,Irvine,2012,Case Management - Deposition,Cloud-based legal deposition software system.,http://edepoze.com/ ,https://twitter.com/eDepoze ,https://angel.co/edepoze ,n/a,
Logickull,San Francisco,2009,Case Management - Discovery,A better way to manage investigations & discovery.,http://logikcull.com/ ,https://twitter.com/logikcull ,n/a,n/a,
cicayada,Nashville,2012,Case Management - Discovery,eDiscovery technology & services for intelligent litigation ,http://www.cicayda.com/,https://twitter.com/cicayda ,n/a,http://www.crunchbase.com/organization/cicayda ,
CS Disco,Houston,2012,Case Management - Discovery,Document review done right.,http://www.csdisco.com/ ,https://twitter.com/CS_Disco ,https://angel.co/cs-disco ,http://www.crunchbase.com/organization/cs-disco,
EasyIntake,Los Angeles,2014,Case Management - Intake,Seamless client intake in the cloud for lawyers.,http://easyintake.com/ ,https://twitter.com/EasyIntake ,n/a,n/a,
Everlaw,Berkeley,2010,Case Management - Litigation,Unified platform for e-discovery and litigation,http://everlaw.com ,https://twitter.com/EverlawInc,https://angel.co/everlaw ,http://www.crunchbase.com/organization/easyesi ,
Allegory Law,New York City,2011,Case Management - Litigation,Smart Software for Smart Litigation.,http://www.allegorylaw.com/ ,https://twitter.com/@allegorylaw ,https://angel.co/allegory-law-1 ,http://www.crunchbase.com/organization/allegory-law ,
BleuAcre,Atlanta,2013,Case Management - Litigation,Powerful case management for litigators,http://www.bleuacre.com/ ,https://twitter.com/BleuAcre ,https://angel.co/bleuacre ,n/a,
Docracy,New York City,2011,Document Automation,The web’s only open collection of legal contracts and the best way to negotiate and sign documents online.,https://www.docracy.com/ ,https://twitter.com/Docracy ,https://angel.co/docracy ,http://www.crunchbase.com/organization/docracy ,
CaseRails,New York City,2013,Document Automation,Perfect Legal Documents. Faster.,http://www.caserails.com ,https://twitter.com/CaseRails ,https://angel.co/caserails ,http://www.crunchbase.com/organization/caserails ,
LexSpring,New Jersey,2014,Document Automation,Internet Law Advisor,http://lexspring.com/ ,https://twitter.com/lex_spring/ ,n/a,n/a,
AfterSteps,New York City,2011,Estates and Wills,Online end-of-life planning platform.,http://www.aftersteps.com ,https://twitter.com/AfterStepsCo ,https://angel.co/aftersteps ,http://www.crunchbase.com/organization/aftersteps ,
everplans,New York City,2012,Estates and Wills,A practical approach to life and death.,https://www.everplans.com/ ,https://twitter.com/everplans ,https://angel.co/everplans ,http://www.crunchbase.com/organization/everplans ,
AfterIGo,San Francisco,2013,Estates and Wills,Be a hero to those you love,http://www.afterigo.com/ ,https://twitter.com/AfterIGo ,https://angel.co/after-i-go-inc ,n/a,
Avvo,"Seattle, WA",2007,Lawyer Marketplace,The right attorney makes the difference,http://www.avvo.com/ ,https://twitter.com/avvo ,n/a,http://www.crunchbase.com/organization/avvo ,
AttorneyFee,San Francisco,2011,Lawyer Marketplace,Find the best attorney for your budget,http://www.attorneyfee.com ,https://twitter.com/AttorneyFee ,https://angel.co/attorneyfee ,http://www.crunchbase.com/organization/attorneyfee ,
Fair Document,Palo Alto,2011,Lawyer Marketplace,We provide affordable access to lawyers and allow users' easy control over all their legal documents. ,http://fairdocument.com ,https://twitter.com/fairdocuments ,https://angel.co/fair-document ,n/a,
LawDeeDa,Dallas,2011,Lawyer Marketplace,LawDeeDa introduces you to authentic attorneys,http://www.lawdeeda.com/ ,https://twitter.com/LawDeeDa ,n/a,n/a,
LawGives,Palo Alto,2011,Lawyer Marketplace,Find Legal Help You Can Trust,http://www.lawgives.com/ ,https://twitter.com/LawGives ,https://angel.co/lawgives ,http://www.crunchbase.com/organization/lawgives ,
JammedUp,New York City,2012,Lawyer Marketplace,"When Trouble Finds You, You Find Us",http://www.jammedup.com/ ,https://twitter.com/jammedupusa ,https://angel.co/jammedup ,n/a,
Lawdingo,New York City,2012,Lawyer Marketplace,Lawdingo helps people connect with attorneys for legal consultations over the internet.,http://www.lawdingo.com ,https://twitter.com/thelawdingo ,https://angel.co/lawdingo ,http://www.crunchbase.com/organization/lawdingo ,
LawKick,Los Angeles,2012,Lawyer Marketplace,The easiest way to find a lawyer.,https://LawKick.com ,https://twitter.com/LawKick ,https://angel.co/lawkick ,http://www.crunchbase.com/organization/lawkick ,
LawZam,Los Angeles,2012,Lawyer Marketplace,Answers to legal questions and free legal advice online.,https://www.lawzam.com/ ,https://twitter.com/LawZam ,n/a,n/a,
RSVP Law,Studio City,2012,Lawyer Marketplace,Free Help To Find and Connect With Attorneys,http://rsvplaw.com/ ,https://twitter.com/rsvplaw ,n/a,http://www.crunchbase.com/organization/rsvp-law ,
Bluetree Legal Connect,San Francisco,2013,Lawyer Marketplace,Find an attorney anywhere for free,http://www.bluetreelegal.com ,https://twitter.com/BluetreeLegal ,https://angel.co/bluetree-legal-connect ,n/a,
Lawnearme.com,New York City,2013,Lawyer Marketplace,LawNearMe.com is the first website to allow consumers to search local lawyers and book a consultation instantly,http://www.lawnearme.com/,https://twitter.com/LawNearMe ,n/a,http://www.crunchbase.com/organization/lawnearme-com ,
