name,location,founded_date,category,description,main_url,twitter_url,angellist_url,crunchbase_url,business_model,target_client,all_tags
Abe.,"Toronto, ON, Canada",2014,Marketplace,Find lawyers recommended by experienced entrepreneurs.,http://www.abelegal.com/,https://twitter.com/abe_legal,n/a,n/a,Legal Service Using Tech,Individuals,"web, find-a-lawyer, entrepreneur, recommendation"
Access Solicitor,"London, UK",2013,Marketplace,Access Solicitor is an online marketing (and lead generation) platform for lawyers with a LinkedIn style business model ‰ÛÒ free to the consumer and lawyers pay for features on the site to enhance their listing.,http://www.accesssolicitor.com/,https://twitter.com/AccessSolicitor,https://angel.co/access-solicitor?utm_source=companies,,Legal Service Using Tech,Individuals,marketplace 
accreditation.io,West Sacramento,2014,Document Automation,accreditation.io is a platform for startups & investors to easily create and share investor eligibility docs -- Now everyone can finally have paperwork OCD!,accreditation.io,https://twitter.com/get_accredited,https://angel.co/accreditation-io,,Legal Service Using Tech,Individuals,"documents, accreditation, investor"
AdviceScene,"Victoria, Canada",2011,Marketplace,"AdviceScene.com provides free legal answers from verified lawyers. For lawyers, AdviceScene.com provides the perfect online marketing tool",http://advicescene.com/,,https://angel.co/advicescene?utm_source=companies,,Legal Service Using Tech,Individuals,lawyer marketplace
AdviseHub,"Santa Clara, CA, USA",2014,Marketplace,"AdviseHub makes immigration and visas faster, easier and cheaper. Our platform is an end-to-end, client centered immigration planning and management system.",advisehub.com,https://twitter.com/advise_hub,https://angel.co/advisehub?utm_source=companies,,Legal Service Using Tech,Individuals,"immigration, lawyer marketplace"
advocado,"Greifswald, Germany",2015,Marketplace,We've developed an easy SaaS solution for the legal market - called advocado connect.,advocado.de,https://twitter.com/advocado,https://angel.co/advocado-2?utm_source=companies,,Legal Service Using Tech,Companies,Saas
Advocatalog,"Barcelona, Spain",2011,Marketplace,Advocatalog is a marketplace for lawyers which will make the legal sector more transparent and accessible to the consumer. It will offer access to lawyers from 10 Euros.,http://www.advocatalog.com/,,https://angel.co/advocatalog-1?utm_source=companies,,Legal Service Using Tech,Individuals,
AfterIGo,"San Francisco, CA, USA",2013,Document Automation,Be a hero to those you love,http://www.afterigo.com/,https://twitter.com/AfterIGo,https://angel.co/after-i-go-inc,n/a,Legal Service Using Tech,Individuals,"wills, estates"
AfterSteps,"New York, NY, USA",2011,Document Automation,Online end-of-life planning platform.,http://www.aftersteps.com,https://twitter.com/AfterStepsCo,https://angel.co/aftersteps,http://www.crunchbase.com/organization/aftersteps,Legal Service Using Tech,Individuals,"wills, estates"
AgileLaw,"Austin, TX, USA",2011,Practice Management,Paperless Depositions for Attorneys,http://www.agilelaw.com/,https://twitter.com/agilelaw,n/a,http://www.crunchbase.com/organization/agilelaw,Legal Tech,Service Providers,depositions
AI Patents,"Raleigh, NC, USA",2013,Legal Research,We developed a revolutionary patent search engine that addresses the problem that the same idea can be described in multiple ways.,aipatents.com,https://twitter.com/aipatents,https://angel.co/ai-patents?utm_source=companies,,Legal Tech,Companies,"Patents, patent search, SaaS"
AirHelp,"New York, NY, USA",2014,Document Automation,"AirHelp fights for your right to compensation when your flight is delayed, cancelled or overbooked. AirHelp does all the paperwork, follow up and legal actions.",getairhelp.com,https://twitter.com/theairhelper,https://angel.co/airhelp?utm_source=companies,,Legal Service Using Tech,Companies,"consumer, air-fare, airline"
AlgoValue,"Atlanta, GA, USA",2013,Document Automation,"The AlgoValue SaaS platform provides a suite of efficient, intuitive, accurate and analytical tools which bring disruptive and instant transparency, as well as real-time decision-support data output for smarter investment decisions.",algovalue.com,,https://angel.co/algovalue?utm_source=companies,,Legal Tech,Companies,"SaaS, start-ups, cap-table, VC, investors, term-sheets"
Align Matters,"Los Angeles, CA, USA",2015,Practice Management,GPS For Legal,alignmatters.com,,,,Legal Tech,Companies,"Law-firms, workflow"
Allegory Law,"New York, NY, USA",2011,Practice Management,Smart Software for Smart Litigation.,http://www.allegorylaw.com/,https://twitter.com/@allegorylaw,https://angel.co/allegory-law-1,http://www.crunchbase.com/organization/allegory-law,Legal Tech,Service Providers,litigation
Aluvion Law,"Toronto, ON, Canada",2012,Document Automation,Flat-fee services for small and medium enterprizes,aluvionlaw.com,https://twitter.com/aluvionlaw,https://angel.co/aluvion-law?utm_source=companies,,Legal Tech,Companies,"SME, start-ups, small business, growing business, IP"
Ampulse,"Golden, CO, USA",2016,Legal Education,Legal Education,ampulse.com,,https://angel.co/ampulse?utm_source=companies,,Legal Service Using Tech,Individuals,Legal Education
"ApexCLE, Inc.,","Chicago, IL, USA",2014,Legal Education,Provide online continuing legal education courses to national and international attorneys.,ApexCLE.com,,https://angel.co/apexcle-inc?utm_source=companies,,Legal Tech,Companies,"Legal Education, Mobile App, CLE"
AppealTrack,"Indianapolis, IN, USA",2016,Practice Management,Case management for property tax appeals.,http://appealtrack.com/,,https://angel.co/appealtrack?utm_source=companies,,Legal Tech,Companies,"Property Tax, Appeal, Case Management"
Arachnys,"New York, NY, USA",2012,Practice Management,"The Arachnys platform is used by several of the world‰Ûªs largest investment banks, financial institutions and law firms while we also support the research functions within a number of corruption and risk consultancies as well as NGOs.",arachnys.com,,https://angel.co/arachnys?utm_source=companies,,Legal Tech,Companies,"dilligence, investigation, auditing, document automation"
Arbiclaims,"Los Angeles, CA, USA",2015,Online Dispute Resolution,We replace small claims court with online arbitration for <$5-10K legal claims. In doing so we provide our customers with a quicker/better alternative to small claims court.,Arbiclaims.com,,https://angel.co/arbiclaims?utm_source=companies,,Legal Service Using Tech,Individuals,"arbitration, dispute resolution, ODR"
Arrest SOS,"Dallas, TX, USA",2013,Marketplace - Mobile,The App That Gets You Out Of Jail.,http://arrestsos.com,https://twitter.com/ArrestSOS,https://angel.co/arrest-sos,n/a,Legal Tech,Individuals,"find-a-lawyer, mobile, app"
ASCAPPE,"Houston, TX, USA",2015,Document Automation,"It's a web and mobile application that makes it easy to keep track of structural compliance requirements like probation officer fees, hearings, community service hours/confirmations, bail requirements and more.",ascappe.com,,https://angel.co/ascappe-1?utm_source=companies,,Legal Tech,Individuals,"compliance, parole, probation"
Ascent,"Chicago, IL, USA",2015,Document Automation,Ascent‰Ûªs ultimate goal is to assist compliance and operations staff at financial institutions with maintaining compliance with rapidly changing and burdensome rules and regulations.,Ascent.is,,https://angel.co/ascent-1?utm_source=companies,,Legal Tech,Companies,"compliance, regulation, finance"
Ashem,"New York, NY, USA",2013,No Category Assigned,We currently operate in a niche and innovative sector of the financial services industry that focuses on the pursuit of litigation claims (when a plaintiff sues in Court for civil redress) to help move the cases forward to completion and victory.,https://www.facebook.com/Ashemllc,,,,,,
AssistMyCase,"San Francisco, CA, USA",2013,Analytics,Predictive analysis for litigation,https://www.assistmycase.com/,https://twitter.com/AssistMyCase,https://angel.co/assistmycase-inc-1,http://www.crunchbase.com/organization/assistmycase,Legal Tech,Service Providers,"litigation, analytics, data mining"
"AssistMyCase, Inc.","San Francisco, CA, USA",2013,No Category Assigned,"AssistMyCase‰ã¢, Inc. provides Litigation Intelligenceå¨ products and solutions for Litigators, Corporate, General and In-House Counsels at medium-to-large enterprises that aid in the management of commercial legal disputes to help achieve faster, less expensive and superior legal outcomes.",http://www.assistmycase.com/,,,,,,
Ategra Computer Technology,"Darwin, Australia",2012,No Category Assigned,A professional IT Support company specializing in providing reliable & effective support to small and medium-sized businesses throughout the Topend.,ategra.com.au,,,,,,
"Attorney's Back Office, Inc.","Los Angeles, CA, USA",2015,Practice Management,"Attorney‰Ûªs Back Office is the only online, bilingual (English & Spanish) legal software application for matter & practice management, the complete solution for solo practitioners, paralegals and small/medium size law firms and legal professionals worldwide.",http://www.attorneysbackoffice.com/,,,,,,
AttorneyFee,"San Francisco, CA, USA",2011,Marketplace,Find the best attorney for your budget,http://www.attorneyfee.com,https://twitter.com/AttorneyFee,https://angel.co/attorneyfee,http://www.crunchbase.com/organization/attorneyfee,Legal Service Using Tech,Individuals,"web, find-a-lawyer, budget"
Audiocasefiles,"Boston, MA, USA",2011,No Category Assigned,,http://www.audiocasefiles.com/,,,,,,
Audvi,"San Diego, CA, USA",2014,No Category Assigned,Game changer for people that are Dyslexic and the Vision-impaired by offering ‰ÛÏaudibly-accessible‰Û technology.,audvi.com,,,,,,
Avvo,"Seattle, WA, USA",2007,Marketplace,The right attorney makes the difference,http://www.avvo.com/,https://twitter.com/avvo,n/a,http://www.crunchbase.com/organization/avvo,Legal Service Using Tech,Individuals,"marketplace, find-a-lawyer"
BackStartup,"Bogota, Colombia",2014,Marketplace,"We are revolutionizing the way accounting and legal services are being provided to startups, micro and small enterprises in Latin America.",http://www.backstartup.com/,,,,,,
BeeLine Reader,"Woodside, CA, USA",2013,No Category Assigned,,http://www.beelinereader.com/,,,,,,
"Bend Law Group, PC","San Francisco, CA, USA",2014,No Category Assigned,"With extensive experience advising small businesses and startups, we focus on helping entrepreneurs take practical legal steps to achieve their business goals.",http://www.bendlawoffice.com/,,,,,,
BernieSez,"Raleigh, NC, USA",2014,No Category Assigned,We save people time and money on traffic tickets and criminal cases by getting lawyers to compete for your business. Get started by simply taking a picture of your traffic ticket or infraction.,berniesez.com,,,,,,
Bhavnani Technologies,"Scottsdale, AZ, USA",2015,No Category Assigned,We offer a service that provides email and internet privacy and security for households and small businesses.,https://thesentinel.launchrock.com/,,,,,,
Big Time Software Inc,"Chicago, IL, USA",2002,Practice Management,"BigTime Software, Inc. is a United States-based cloud-based time and billing software company. The Company's browser-based interface for practice management allows professional services firms to instantly deploy and connect BigTime to existing back-office services. The Company's products include Lacerte, Mobile App, QuickBooks Timesheet, BigTime Express and Customer Raves. The Company develops practice management tools that help professional services firms track, manage and invoice their time. Its solutions are designed to speak the language of more than a dozen business types, from accounting and information technology (IT) services to architecture and engineering. It provides its products to a range of industries, such as accounting, technology, architecture and engineering, government contracting, legal and marketing.",http://bigtime.net,,,https://www.crunchbase.com/organization/bigtime-software,,,
